sis_municipio_id,sis_estado_id,sis_municipio_ibge,sis_municipio_descricao
62,1,1200336,"MÂNCIO LIMA"
63,1,1200344,"MANOEL URBANO"
64,1,1200351,"MARECHAL THAUMATURGO"
65,1,1200385,"PLÁCIDO DE CASTRO"
66,1,1200393,"PORTO WALTER"
67,1,1200401,"RIO BRANCO"
68,1,1200427,"RODRIGUES ALVES"
69,1,1200435,"SANTA ROSA DO PURUS"
70,1,1200450,"SENADOR GUIOMARD"
71,1,1200500,"SENA MADUREIRA"
72,1,1200609,TARAUACÁ
73,1,1200708,XAPURI
74,1,1200807,"PORTO ACRE"
75,4,1300029,ALVARÃES
76,4,1300060,AMATURÁ
77,4,1300086,ANAMÃ
78,4,1300102,ANORI
79,4,1300144,APUÍ
80,4,1300201,"ATALAIA DO NORTE"
81,4,1300300,AUTAZES
82,4,1300409,BARCELOS
83,4,1300508,BARREIRINHA
84,4,1300607,"BENJAMIN CONSTANT"
85,4,1300631,BERURI
86,4,1300680,"BOA VISTA DO RAMOS"
87,4,1300706,"BOCA DO ACRE"
88,4,1300805,BORBA
89,4,1300839,CAAPIRANGA
90,4,1300904,CANUTAMA
91,4,1301001,CARAUARI
92,4,1301100,CAREIRO
93,4,1301159,"CAREIRO DA VÁRZEA"
94,4,1301209,COARI
95,4,1301308,CODAJÁS
96,4,1301407,EIRUNEPÉ
97,4,1301506,ENVIRA
98,4,1301605,"FONTE BOA"
99,4,1301654,GUAJARÁ
100,4,1301704,HUMAITÁ
101,4,1301803,IPIXUNA
102,4,1301852,IRANDUBA
103,4,1301902,ITACOATIARA
104,4,1301951,ITAMARATI
105,4,1302009,ITAPIRANGA
106,4,1302108,JAPURÁ
107,4,1302207,JURUÁ
108,4,1302306,JUTAÍ
109,4,1302405,LÁBREA
110,4,1302504,MANACAPURU
111,4,1302553,MANAQUIRI
112,4,1302603,MANAUS
113,4,1302702,MANICORÉ
114,4,1302801,MARAÃ
115,4,1302900,MAUÉS
116,4,1303007,NHAMUNDÁ
117,4,1303106,"NOVA OLINDA DO NORTE"
118,4,1303205,"NOVO AIRÃO"
119,4,1303304,"NOVO ARIPUANÃ"
120,4,1303403,PARINTINS
121,4,1303502,PAUINI
122,4,1303536,"PRESIDENTE FIGUEIREDO"
123,4,1303569,"RIO PRETO DA EVA"
124,4,1303601,"SANTA ISABEL DO RIO NEGRO"
125,4,1303700,"SANTO ANTÔNIO DO IÇÁ"
126,4,1303809,"SÃO GABRIEL DA CACHOEIRA"
127,4,1303908,"SÃO PAULO DE OLIVENÇA"
128,4,1303957,"SÃO SEBASTIÃO DO UATUMÃ"
129,4,1304005,SILVES
130,4,1304062,TABATINGA
131,4,1304104,TAPAUÁ
132,4,1304203,TEFÉ
133,4,1304237,TONANTINS
134,4,1304260,UARINI
135,4,1304302,URUCARÁ
136,4,1304401,URUCURITUBA
137,23,1400027,AMAJARI
138,23,1400050,"ALTO ALEGRE"
139,23,1400100,"BOA VISTA"
140,23,1400159,BONFIM
141,23,1400175,CANTÁ
142,23,1400209,CARACARAÍ
143,23,1400233,CAROEBE
144,23,1400282,IRACEMA
145,23,1400308,MUCAJAÍ
146,23,1400407,NORMANDIA
147,23,1400456,PACARAIMA
148,23,1400472,RORAINÓPOLIS
149,23,1400506,"SÃO JOÃO DA BALIZA"
150,23,1400605,"SÃO LUIZ"
151,23,1400704,UIRAMUTÃ
152,14,1500107,ABAETETUBA
153,14,1500131,"ABEL FIGUEIREDO"
154,14,1500206,ACARÁ
155,14,1500305,AFUÁ
156,14,1500347,"ÁGUA AZUL DO NORTE"
157,14,1500404,ALENQUER
158,14,1500503,ALMEIRIM
159,14,1500602,ALTAMIRA
160,14,1500701,ANAJÁS
161,14,1500800,ANANINDEUA
162,14,1500859,ANAPU
163,14,1500909,"AUGUSTO CORRÊA"
164,14,1500958,"AURORA DO PARÁ"
165,14,1501006,AVEIRO
166,14,1501105,BAGRE
167,14,1501204,BAIÃO
168,14,1501253,BANNACH
169,14,1501303,BARCARENA
170,14,1501402,BELÉM
171,14,1501451,BELTERRA
172,14,1501501,BENEVIDES
173,14,1501576,"BOM JESUS DO TOCANTINS"
174,14,1501600,BONITO
175,14,1501709,BRAGANÇA
176,14,1501725,"BRASIL NOVO"
177,14,1501758,"BREJO GRANDE DO ARAGUAIA"
178,14,1501782,"BREU BRANCO"
179,14,1501808,BREVES
180,14,1501907,BUJARU
181,14,1501956,"CACHOEIRA DO PIRIÁ"
182,14,1502004,"CACHOEIRA DO ARARI"
183,14,1502103,CAMETÁ
184,14,1502152,"CANAÃ DOS CARAJÁS"
185,14,1502202,CAPANEMA
186,14,1502301,"CAPITÃO POÇO"
187,14,1502400,CASTANHAL
188,14,1502509,CHAVES
189,14,1502608,COLARES
190,14,1502707,"CONCEIÇÃO DO ARAGUAIA"
191,14,1502756,"CONCÓRDIA DO PARÁ"
192,14,1502764,"CUMARU DO NORTE"
193,14,1502772,CURIONÓPOLIS
194,14,1502806,CURRALINHO
195,14,1502855,CURUÁ
196,14,1502905,CURUÇÁ
197,14,1502939,"DOM ELISEU"
198,14,1502954,"ELDORADO DOS CARAJÁS"
199,14,1503002,FARO
200,14,1503044,"FLORESTA DO ARAGUAIA"
201,14,1503077,"GARRAFÃO DO NORTE"
202,14,1503093,"GOIANÉSIA DO PARÁ"
203,14,1503101,GURUPÁ
204,14,1503200,IGARAPÉ-AÇU
205,14,1503309,IGARAPÉ-MIRI
206,14,1503408,INHANGAPI
207,14,1503457,"IPIXUNA DO PARÁ"
208,14,1503507,IRITUIA
209,14,1503606,ITAITUBA
210,14,1503705,ITUPIRANGA
211,14,1503754,JACAREACANGA
212,14,1503804,JACUNDÁ
213,14,1503903,JURUTI
214,14,1504000,"LIMOEIRO DO AJURU"
215,14,1504059,"MÃE DO RIO"
216,14,1504109,"MAGALHÃES BARATA"
217,14,1504208,MARABÁ
218,14,1504307,MARACANÃ
219,14,1504406,MARAPANIM
220,14,1504422,MARITUBA
221,14,1504455,MEDICILÂNDIA
222,14,1504505,MELGAÇO
223,14,1504604,MOCAJUBA
224,14,1504703,MOJU
225,14,1504802,"MONTE ALEGRE"
226,14,1504901,MUANÁ
227,14,1504950,"NOVA ESPERANÇA DO PIRIÁ"
228,14,1504976,"NOVA IPIXUNA"
229,14,1505007,"NOVA TIMBOTEUA"
230,14,1505031,"NOVO PROGRESSO"
231,14,1505064,"NOVO REPARTIMENTO"
232,14,1505106,ÓBIDOS
233,14,1505205,"OEIRAS DO PARÁ"
234,14,1505304,ORIXIMINÁ
235,14,1505403,OURÉM
236,14,1505437,"OURILÂNDIA DO NORTE"
237,14,1505486,PACAJÁ
238,14,1505494,"PALESTINA DO PARÁ"
239,14,1505502,PARAGOMINAS
240,14,1505536,PARAUAPEBAS
241,14,1505551,"PAU D'ARCO"
242,14,1505601,PEIXE-BOI
243,14,1505635,PIÇARRA
244,14,1505650,PLACAS
245,14,1505700,"PONTA DE PEDRAS"
246,14,1505809,PORTEL
247,14,1505908,"PORTO DE MOZ"
248,14,1506005,PRAINHA
249,14,1506104,PRIMAVERA
250,14,1506112,QUATIPURU
251,14,1506138,REDENÇÃO
252,14,1506161,"RIO MARIA"
253,14,1506187,"RONDON DO PARÁ"
254,14,1506195,RURÓPOLIS
255,14,1506203,SALINÓPOLIS
256,14,1506302,SALVATERRA
257,14,1506351,"SANTA BÁRBARA DO PARÁ"
258,14,1506401,"SANTA CRUZ DO ARARI"
259,14,1506500,"SANTA ISABEL DO PARÁ"
260,14,1506559,"SANTA LUZIA DO PARÁ"
261,14,1506583,"SANTA MARIA DAS BARREIRAS"
262,14,1506609,"SANTA MARIA DO PARÁ"
263,14,1506708,"SANTANA DO ARAGUAIA"
264,14,1506807,SANTARÉM
265,14,1506906,"SANTARÉM NOVO"
266,14,1507003,"SANTO ANTÔNIO DO TAUÁ"
267,14,1507102,"SÃO CAETANO DE ODIVELAS"
268,14,1507151,"SÃO DOMINGOS DO ARAGUAIA"
269,14,1507201,"SÃO DOMINGOS DO CAPIM"
270,14,1507300,"SÃO FÉLIX DO XINGU"
271,14,1507409,"SÃO FRANCISCO DO PARÁ"
272,14,1507458,"SÃO GERALDO DO ARAGUAIA"
273,14,1507466,"SÃO JOÃO DA PONTA"
274,14,1507474,"SÃO JOÃO DE PIRABAS"
275,14,1507508,"SÃO JOÃO DO ARAGUAIA"
276,14,1507607,"SÃO MIGUEL DO GUAMÁ"
277,14,1507706,"SÃO SEBASTIÃO DA BOA VISTA"
278,14,1507755,SAPUCAIA
279,14,1507805,"SENADOR JOSÉ PORFÍRIO"
280,14,1507904,SOURE
281,14,1507953,TAILÂNDIA
282,14,1507961,"TERRA ALTA"
283,14,1507979,"TERRA SANTA"
284,14,1508001,TOMÉ-AÇU
285,14,1508035,TRACUATEUA
286,14,1508050,TRAIRÃO
287,14,1508084,TUCUMÃ
288,14,1508100,TUCURUÍ
289,14,1508126,ULIANÓPOLIS
290,14,1508159,URUARÁ
291,14,1508209,VIGIA
292,14,1508308,VISEU
293,14,1508357,"VITÓRIA DO XINGU"
294,14,1508407,XINGUARA
295,3,1600055,"SERRA DO NAVIO"
296,3,1600105,AMAPÁ
297,3,1600154,"PEDRA BRANCA DO AMAPARI"
298,3,1600204,CALÇOENE
299,3,1600212,CUTIAS
300,3,1600238,"FERREIRA GOMES"
301,3,1600253,ITAUBAL
302,3,1600279,"LARANJAL DO JARI"
303,3,1600303,MACAPÁ
304,3,1600402,MAZAGÃO
305,3,1600501,OIAPOQUE
306,3,1600535,"PORTO GRANDE"
307,3,1600550,PRACUÚBA
308,3,1600600,SANTANA
309,3,1600709,TARTARUGALZINHO
310,3,1600808,"VITÓRIA DO JARI"
311,27,1700251,ABREULÂNDIA
312,27,1700301,AGUIARNÓPOLIS
313,27,1700350,"ALIANÇA DO TOCANTINS"
314,27,1700400,ALMAS
315,27,1700707,ALVORADA
316,27,1701002,ANANÁS
317,27,1701051,ANGICO
318,27,1701101,"APARECIDA DO RIO NEGRO"
319,27,1701309,ARAGOMINAS
320,27,1701903,ARAGUACEMA
321,27,1702000,ARAGUAÇU
322,27,1702109,ARAGUAÍNA
323,27,1702158,ARAGUANÃ
324,27,1702208,ARAGUATINS
325,27,1702307,ARAPOEMA
326,27,1702406,ARRAIAS
327,27,1702554,AUGUSTINÓPOLIS
328,27,1702703,"AURORA DO TOCANTINS"
329,27,1702901,"AXIXÁ DO TOCANTINS"
330,27,1703008,BABAÇULÂNDIA
331,27,1703057,"BANDEIRANTES DO TOCANTINS"
332,27,1703073,"BARRA DO OURO"
333,27,1703107,BARROLÂNDIA
334,27,1703206,"BERNARDO SAYÃO"
335,27,1703305,"BOM JESUS DO TOCANTINS"
336,27,1703602,"BRASILÂNDIA DO TOCANTINS"
337,27,1703701,"BREJINHO DE NAZARÉ"
338,27,1703800,"BURITI DO TOCANTINS"
339,27,1703826,CACHOEIRINHA
340,27,1703842,"CAMPOS LINDOS"
341,27,1703867,"CARIRI DO TOCANTINS"
342,27,1703883,CARMOLÂNDIA
343,27,1703891,"CARRASCO BONITO"
344,27,1703909,CASEARA
345,27,1704105,CENTENÁRIO
346,27,1704600,"CHAPADA DE AREIA"
347,27,1705102,"CHAPADA DA NATIVIDADE"
348,27,1705508,"COLINAS DO TOCANTINS"
349,27,1705557,COMBINADO
350,27,1705607,"CONCEIÇÃO DO TOCANTINS"
351,27,1706001,"COUTO DE MAGALHÃES"
352,27,1706100,CRISTALÂNDIA
353,27,1706258,"CRIXÁS DO TOCANTINS"
354,27,1706506,DARCINÓPOLIS
355,27,1707009,DIANÓPOLIS
356,27,1707108,"DIVINÓPOLIS DO TOCANTINS"
357,27,1707207,"DOIS IRMÃOS DO TOCANTINS"
358,27,1707306,DUERÉ
359,27,1707405,ESPERANTINA
360,27,1707553,FÁTIMA
361,27,1707652,FIGUEIRÓPOLIS
362,27,1707702,FILADÉLFIA
363,27,1708205,"FORMOSO DO ARAGUAIA"
364,27,1708254,"FORTALEZA DO TABOCÃO"
365,27,1708304,GOIANORTE
366,27,1709005,GOIATINS
367,27,1709302,GUARAÍ
368,27,1709500,GURUPI
369,27,1709807,IPUEIRAS
370,27,1710508,ITACAJÁ
371,27,1710706,ITAGUATINS
372,27,1710904,ITAPIRATINS
373,27,1711100,"ITAPORÃ DO TOCANTINS"
374,27,1711506,"JAÚ DO TOCANTINS"
375,27,1711803,JUARINA
376,27,1711902,"LAGOA DA CONFUSÃO"
377,27,1711951,"LAGOA DO TOCANTINS"
378,27,1712009,LAJEADO
379,27,1712157,LAVANDEIRA
380,27,1712405,LIZARDA
381,27,1712454,LUZINÓPOLIS
382,27,1712504,"MARIANÓPOLIS DO TOCANTINS"
383,27,1712702,MATEIROS
384,27,1712801,"MAURILÂNDIA DO TOCANTINS"
385,27,1713205,"MIRACEMA DO TOCANTINS"
386,27,1713304,MIRANORTE
387,27,1713601,"MONTE DO CARMO"
388,27,1713700,"MONTE SANTO DO TOCANTINS"
389,27,1713809,"PALMEIRAS DO TOCANTINS"
390,27,1713957,MURICILÂNDIA
391,27,1714203,NATIVIDADE
392,27,1714302,NAZARÉ
393,27,1714880,"NOVA OLINDA"
394,27,1715002,"NOVA ROSALÂNDIA"
395,27,1715101,"NOVO ACORDO"
396,27,1715150,"NOVO ALEGRE"
397,27,1715259,"NOVO JARDIM"
398,27,1715507,"OLIVEIRA DE FÁTIMA"
399,27,1715705,PALMEIRANTE
400,27,1715754,PALMEIRÓPOLIS
401,27,1716109,"PARAÍSO DO TOCANTINS"
402,27,1716208,PARANÃ
403,27,1716307,"PAU D'ARCO"
404,27,1716505,"PEDRO AFONSO"
405,27,1716604,PEIXE
406,27,1716653,PEQUIZEIRO
407,27,1716703,COLMÉIA
408,27,1717008,"PINDORAMA DO TOCANTINS"
409,27,1717206,PIRAQUÊ
410,27,1717503,PIUM
411,27,1717800,"PONTE ALTA DO BOM JESUS"
412,27,1717909,"PONTE ALTA DO TOCANTINS"
413,27,1718006,"PORTO ALEGRE DO TOCANTINS"
414,27,1718204,"PORTO NACIONAL"
415,27,1718303,"PRAIA NORTE"
416,27,1718402,"PRESIDENTE KENNEDY"
417,27,1718451,PUGMIL
418,27,1718501,RECURSOLÂNDIA
419,27,1718550,RIACHINHO
420,27,1718659,"RIO DA CONCEIÇÃO"
421,27,1718709,"RIO DOS BOIS"
422,27,1718758,"RIO SONO"
423,27,1718808,SAMPAIO
424,27,1718840,SANDOLÂNDIA
425,27,1718865,"SANTA FÉ DO ARAGUAIA"
426,27,1718881,"SANTA MARIA DO TOCANTINS"
427,27,1718899,"SANTA RITA DO TOCANTINS"
428,27,1718907,"SANTA ROSA DO TOCANTINS"
429,27,1719004,"SANTA TEREZA DO TOCANTINS"
430,27,1720002,"SANTA TEREZINHA DO TOCANTINS"
431,27,1720101,"SÃO BENTO DO TOCANTINS"
432,27,1720150,"SÃO FÉLIX DO TOCANTINS"
433,27,1720200,"SÃO MIGUEL DO TOCANTINS"
434,27,1720259,"SÃO SALVADOR DO TOCANTINS"
435,27,1720309,"SÃO SEBASTIÃO DO TOCANTINS"
436,27,1720499,"SÃO VALÉRIO DA NATIVIDADE"
437,27,1720655,SILVANÓPOLIS
438,27,1720804,"SÍTIO NOVO DO TOCANTINS"
439,27,1720853,SUCUPIRA
440,27,1720903,TAGUATINGA
441,27,1720937,"TAIPAS DO TOCANTINS"
442,27,1720978,TALISMÃ
443,27,1721000,PALMAS
444,27,1721109,TOCANTÍNIA
445,27,1721208,TOCANTINÓPOLIS
446,27,1721257,TUPIRAMA
447,27,1721307,TUPIRATINS
448,27,1722081,WANDERLÂNDIA
449,27,1722107,XAMBIOÁ
450,10,2100055,AÇAILÂNDIA
451,10,2100105,"AFONSO CUNHA"
452,10,2100154,"ÁGUA DOCE DO MARANHÃO"
453,10,2100204,ALCÂNTARA
454,10,2100303,"ALDEIAS ALTAS"
455,10,2100402,"ALTAMIRA DO MARANHÃO"
456,10,2100436,"ALTO ALEGRE DO MARANHÃO"
457,10,2100477,"ALTO ALEGRE DO PINDARÉ"
458,10,2100501,"ALTO PARNAÍBA"
459,10,2100550,"AMAPÁ DO MARANHÃO"
460,10,2100600,"AMARANTE DO MARANHÃO"
461,10,2100709,ANAJATUBA
462,10,2100808,ANAPURUS
463,10,2100832,APICUM-AÇU
464,10,2100873,ARAGUANÃ
465,10,2100907,ARAIOSES
466,10,2100956,ARAME
467,10,2101004,ARARI
468,10,2101103,AXIXÁ
469,10,2101202,BACABAL
470,10,2101251,BACABEIRA
471,10,2101301,BACURI
472,10,2101350,BACURITUBA
473,10,2101400,BALSAS
474,10,2101509,"BARÃO DE GRAJAÚ"
475,10,2101608,"BARRA DO CORDA"
476,10,2101707,BARREIRINHAS
477,10,2101731,BELÁGUA
478,10,2101772,"BELA VISTA DO MARANHÃO"
479,10,2101806,"BENEDITO LEITE"
480,10,2101905,BEQUIMÃO
481,10,2101939,"BERNARDO DO MEARIM"
482,10,2101970,"BOA VISTA DO GURUPI"
483,10,2102002,"BOM JARDIM"
484,10,2102036,"BOM JESUS DAS SELVAS"
485,10,2102077,"BOM LUGAR"
486,10,2102101,BREJO
487,10,2102150,"BREJO DE AREIA"
488,10,2102200,BURITI
489,10,2102309,"BURITI BRAVO"
490,10,2102325,BURITICUPU
491,10,2102358,BURITIRANA
492,10,2102374,"CACHOEIRA GRANDE"
493,10,2102408,CAJAPIÓ
494,10,2102507,CAJARI
495,10,2102556,"CAMPESTRE DO MARANHÃO"
496,10,2102606,"CÂNDIDO MENDES"
497,10,2102705,CANTANHEDE
498,10,2102754,"CAPINZAL DO NORTE"
499,10,2102804,CAROLINA
500,10,2102903,CARUTAPERA
501,10,2103000,CAXIAS
502,10,2103109,CEDRAL
503,10,2103125,"CENTRAL DO MARANHÃO"
504,10,2103158,"CENTRO DO GUILHERME"
505,10,2103174,"CENTRO NOVO DO MARANHÃO"
506,10,2103208,CHAPADINHA
507,10,2103257,CIDELÂNDIA
508,10,2103307,CODÓ
509,10,2103406,"COELHO NETO"
510,10,2103505,COLINAS
511,10,2103554,"CONCEIÇÃO DO LAGO-AÇU"
512,10,2103604,COROATÁ
513,10,2103703,CURURUPU
514,10,2103752,DAVINÓPOLIS
515,10,2103802,"DOM PEDRO"
516,10,2103901,"DUQUE BACELAR"
517,10,2104008,ESPERANTINÓPOLIS
518,10,2104057,ESTREITO
519,10,2104073,"FEIRA NOVA DO MARANHÃO"
520,10,2104081,"FERNANDO FALCÃO"
521,10,2104099,"FORMOSA DA SERRA NEGRA"
522,10,2104107,"FORTALEZA DOS NOGUEIRAS"
523,10,2104206,FORTUNA
524,10,2104305,"GODOFREDO VIANA"
525,10,2104404,"GONÇALVES DIAS"
526,10,2104503,"GOVERNADOR ARCHER"
527,10,2104552,"GOVERNADOR EDISON LOBÃO"
528,10,2104602,"GOVERNADOR EUGÊNIO BARROS"
529,10,2104628,"GOVERNADOR LUIZ ROCHA"
530,10,2104651,"GOVERNADOR NEWTON BELLO"
531,10,2104677,"GOVERNADOR NUNES FREIRE"
532,10,2104701,"GRAÇA ARANHA"
533,10,2104800,GRAJAÚ
534,10,2104909,GUIMARÃES
535,10,2105005,"HUMBERTO DE CAMPOS"
536,10,2105104,ICATU
537,10,2105153,"IGARAPÉ DO MEIO"
538,10,2105203,"IGARAPÉ GRANDE"
539,10,2105302,IMPERATRIZ
540,10,2105351,"ITAIPAVA DO GRAJAÚ"
541,10,2105401,"ITAPECURU MIRIM"
542,10,2105427,"ITINGA DO MARANHÃO"
543,10,2105450,JATOBÁ
544,10,2105476,"JENIPAPO DOS VIEIRAS"
545,10,2105500,"JOÃO LISBOA"
546,10,2105609,JOSELÂNDIA
547,10,2105658,"JUNCO DO MARANHÃO"
548,10,2105708,"LAGO DA PEDRA"
549,10,2105807,"LAGO DO JUNCO"
550,10,2105906,"LAGO VERDE"
551,10,2105922,"LAGOA DO MATO"
552,10,2105948,"LAGO DOS RODRIGUES"
553,10,2105963,"LAGOA GRANDE DO MARANHÃO"
554,10,2105989,"LAJEADO NOVO"
555,10,2106003,"LIMA CAMPOS"
556,10,2106102,LORETO
557,10,2106201,"LUÍS DOMINGUES"
558,10,2106300,"MAGALHÃES DE ALMEIDA"
559,10,2106326,MARACAÇUMÉ
560,10,2106359,"MARAJÁ DO SENA"
561,10,2106375,MARANHÃOZINHO
562,10,2106409,"MATA ROMA"
563,10,2106508,MATINHA
564,10,2106607,MATÕES
565,10,2106631,"MATÕES DO NORTE"
566,10,2106672,"MILAGRES DO MARANHÃO"
567,10,2106706,MIRADOR
568,10,2106755,"MIRANDA DO NORTE"
569,10,2106805,MIRINZAL
570,10,2106904,MONÇÃO
571,10,2107001,"MONTES ALTOS"
572,10,2107100,MORROS
573,10,2107209,"NINA RODRIGUES"
574,10,2107258,"NOVA COLINAS"
575,10,2107308,"NOVA IORQUE"
576,10,2107357,"NOVA OLINDA DO MARANHÃO"
577,10,2107407,"OLHO D'ÁGUA DAS CUNHÃS"
578,10,2107456,"OLINDA NOVA DO MARANHÃO"
579,10,2107506,"PAÇO DO LUMIAR"
580,10,2107605,PALMEIRÂNDIA
581,10,2107704,PARAIBANO
582,10,2107803,PARNARAMA
583,10,2107902,"PASSAGEM FRANCA"
584,10,2108009,"PASTOS BONS"
585,10,2108058,"PAULINO NEVES"
586,10,2108108,"PAULO RAMOS"
587,10,2108207,PEDREIRAS
588,10,2108256,"PEDRO DO ROSÁRIO"
589,10,2108306,PENALVA
590,10,2108405,"PERI MIRIM"
591,10,2108454,PERITORÓ
592,10,2108504,PINDARÉ-MIRIM
593,10,2108603,PINHEIRO
594,10,2108702,"PIO XII"
595,10,2108801,PIRAPEMAS
596,10,2108900,"POÇÃO DE PEDRAS"
597,10,2109007,"PORTO FRANCO"
598,10,2109056,"PORTO RICO DO MARANHÃO"
599,10,2109106,"PRESIDENTE DUTRA"
600,10,2109205,"PRESIDENTE JUSCELINO"
601,10,2109239,"PRESIDENTE MÉDICI"
602,10,2109270,"PRESIDENTE SARNEY"
603,10,2109304,"PRESIDENTE VARGAS"
604,10,2109403,"PRIMEIRA CRUZ"
605,10,2109452,RAPOSA
606,10,2109502,RIACHÃO
607,10,2109551,"RIBAMAR FIQUENE"
608,10,2109601,ROSÁRIO
609,10,2109700,SAMBAÍBA
610,10,2109759,"SANTA FILOMENA DO MARANHÃO"
611,10,2109809,"SANTA HELENA"
612,10,2109908,"SANTA INÊS"
613,10,2110005,"SANTA LUZIA"
614,10,2110039,"SANTA LUZIA DO PARUÁ"
615,10,2110104,"SANTA QUITÉRIA DO MARANHÃO"
616,10,2110203,"SANTA RITA"
617,10,2110237,"SANTANA DO MARANHÃO"
618,10,2110278,"SANTO AMARO DO MARANHÃO"
619,10,2110302,"SANTO ANTÔNIO DOS LOPES"
620,10,2110401,"SÃO BENEDITO DO RIO PRETO"
621,10,2110500,"SÃO BENTO"
622,10,2110609,"SÃO BERNARDO"
623,10,2110658,"SÃO DOMINGOS DO AZEITÃO"
624,10,2110708,"SÃO DOMINGOS DO MARANHÃO"
625,10,2110807,"SÃO FÉLIX DE BALSAS"
626,10,2110856,"SÃO FRANCISCO DO BREJÃO"
627,10,2110906,"SÃO FRANCISCO DO MARANHÃO"
628,10,2111003,"SÃO JOÃO BATISTA"
629,10,2111029,"SÃO JOÃO DO CARÚ"
630,10,2111052,"SÃO JOÃO DO PARAÍSO"
631,10,2111078,"SÃO JOÃO DO SOTER"
632,10,2111102,"SÃO JOÃO DOS PATOS"
633,10,2111201,"SÃO JOSÉ DE RIBAMAR"
634,10,2111250,"SÃO JOSÉ DOS BASÍLIOS"
635,10,2111300,"SÃO LUÍS"
636,10,2111409,"SÃO LUÍS GONZAGA DO MARANHÃO"
637,10,2111508,"SÃO MATEUS DO MARANHÃO"
638,10,2111532,"SÃO PEDRO DA ÁGUA BRANCA"
639,10,2111573,"SÃO PEDRO DOS CRENTES"
640,10,2111607,"SÃO RAIMUNDO DAS MANGABEIRAS"
641,10,2111631,"SÃO RAIMUNDO DO DOCA BEZERRA"
642,10,2111672,"SÃO ROBERTO"
643,10,2111706,"SÃO VICENTE FERRER"
644,10,2111722,SATUBINHA
645,10,2111748,"SENADOR ALEXANDRE COSTA"
646,10,2111763,"SENADOR LA ROCQUE"
647,10,2111789,"SERRANO DO MARANHÃO"
648,10,2111805,"SÍTIO NOVO"
649,10,2111904,"SUCUPIRA DO NORTE"
650,10,2111953,"SUCUPIRA DO RIACHÃO"
651,10,2112001,"TASSO FRAGOSO"
652,10,2112100,TIMBIRAS
653,10,2112209,TIMON
654,10,2112233,"TRIZIDELA DO VALE"
655,10,2112274,TUFILÂNDIA
656,10,2112308,TUNTUM
657,10,2112407,TURIAÇU
658,10,2112456,TURILÂNDIA
659,10,2112506,TUTÓIA
660,10,2112605,"URBANO SANTOS"
661,10,2112704,"VARGEM GRANDE"
662,10,2112803,VIANA
663,10,2112852,"VILA NOVA DOS MARTÍRIOS"
664,10,2112902,"VITÓRIA DO MEARIM"
665,10,2113009,"VITORINO FREIRE"
666,10,2114007,"ZÉ DOCA"
667,18,2200053,ACAUÃ
